MGEN|20210608121332|1.0|30|7222|RECURRENT
CAISSEAFFILIATION|0102562235|20090209000002|ACT|973|19940901||506||||||||||||||||||||||
CAISSEAFFILIATION|0102816150|20090209000001|ACT|973|20060901||506||||||||||||||||||||||
CAISSEAFFILIATION|0104981620|20090209000001|ACT|973|20040901||506||||||||||||||||||||||
CAISSEAFFILIATION|0104981621|20181215053242|ACT|973|20181215|20191031|506||||||||||||||||||||||
CONTRATCOLLECTIF|16000143|1|14493|S9300016|O0004501|FR018701|OF000028|0|APAJH|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000144|1|8767|S0600001|O0004501|FR018701|OF000028|0|FOL|20090601|||||||||||||||||||
CONTRATCOLLECTIF|16000145|1|3292|S8100016|O0004501|FR018701|OF000028|0|ASEI CENTRE LE CHEMI|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000146|1|4225|S9500027|O0004501|FR018701|OF000028|0|AFIFA|20100701|||||||||||||||||||
CONTRATCOLLECTIF|16000147|1|14959|S3300023|O0004501|FR018701|OF000028|0|ITEP PLEIN AIR|20110201|||||||||||||||||||
CONTRATCOLLECTIF|16000148|1|14263|S3100015|O0004501|FR018701|OF000028|0|ASEI CENTRE JEAN LAG|20120901|||||||||||||||||||
CONTRATCOLLECTIF|16000149|1|10882|S6600001|O0004501|FR018701|OF000028|0|IMP ET IMPRO LA MAUR|19951201|||||||||||||||||||
CONTRATCOLLECTIF|16000150|1|14739|S7500454|O0004501|FR018701|OF000028|0|ETUDE NOTARIALE.CNJ|20090701|||||||||||||||||||
CONTRATCOLLECTIF|16000151|1|7958|S7700023|O0004501|FR018701|OF000028|0|MAISON DE L'EMPLOI E|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000152|1|3910|S2300007|O0004501|FR018701|OF000028|0|APAJH INST MEDICO ED|20060501|||||||||||||||||||
CONTRATCOLLECTIF|16000153|1|4638|S7500070|O0004501|FR018701|OF000028|0|SNESUP|19910101|||||||||||||||||||
CONTRATCOLLECTIF|16000154|1|1298|S7000006|O0004501|FR018701|OF000028|0|ALEFPA  ITEP SESSAD|20070101|||||||||||||||||||
CONTRATCOLLECTIF|16000155|1|5419|S0700001|O0004501|FR018701|OF000028|0|FOL DE L ARDECHE|20071101|||||||||||||||||||
CONTRATCOLLECTIF|16000156|1|6349|S3400014|O0004501|FR018701|OF000028|0|PEP 34|20070201|||||||||||||||||||
CONTRATCOLLECTIF|16000157|1|11542|S3000024|O0004501|FR018701|OF000028|0|SOCIETE D EXPLOITATI|20080901|||||||||||||||||||
CONTRATCOLLECTIF|16000158|1|2216|S3900002|O0004501|FR018701|OF000028|0|PEP 25|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000159|1|12882|S7500223|O0004501|FR018701|OF000028|0|ENTRAIDE UNIVERSITAI|20100401|||||||||||||||||||
CONTRATCOLLECTIF|16000160|1|517|S2200004|O0004501|FR018701|OF000028|0|IME DU VALAIS APAJH|20060101|||||||||||||||||||
CONTRATCOLLECTIF|16000161|1|14917|S3600012|O0004501|FR018701|OF000028|0|PEP 36 AD DE L INDRE|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000162|1|10147|S7800010|O0004501|FR018701|OF000028|0|ARISSE|20120901|||||||||||||||||||
CONTRATCOLLECTIF|16000163|1|2237|S5600001|O0004501|FR018701|OF000028|0|PEP 56|20110501|||||||||||||||||||
CONTRATCOLLECTIF|16000164|1|8258|S6000008|O0004501|FR018701|OF000028|0|PEP 60 AD DE L OISE|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000165|1|14188|S8100005|O0004501|FR018701|OF000028|0|ASEI CENTRE ARY FRAN|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000166|1|12382|S6600026|O0004501|FR018701|OF000028|0|CIBC DES PYRENEES OR|20030301|||||||||||||||||||
CONTRATCOLLECTIF|16000167|1|13245|S6000002|O0004501|FR018701|OF000028|0|PEP 60|20120401|||||||||||||||||||
CONTRATCOLLECTIF|16000168|1|11419|S6900063|O0004501|FR018701|OF000028|0|IFRA INSTITUT DE FOR|20130101|||||||||||||||||||
CONTRATCOLLECTIF|16000169|1|10550|S9100019|O0004501|FR018701|OF000028|0|ASSOC LANGAGE INTEGR|20090901|||||||||||||||||||
